jokeId,userId,time,content,image,isError
b43352af-3b9b-481c-be5b-98f9cbb6f51b,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2025-01-10 01:53:27.229623+00,ナイナイチンチンゲール,,false
753d59cd-03d1-48a2-b369-cb5316e90f6c,44b8f6dd-366e-437a-b862-0c37c3f6e9ce,2025-01-08 11:19:59.851756+00,"人が人であるのは、多くの制約を持つ物理世界に住むためでしょう。
無限に快楽が得られる仮想世界に人が住めば、それは人と呼べない存在に変貌するでしょう。",,false
cd7e3a6a-4694-42ac-b3f8-604e90e5208d,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2025-01-07 00:32:48.612087+00,"Q. 「ゴリラの長」の対義語は？
A. 「人間（唯一の腹黒な生物だから）」",,false
54bf94d0-889d-454a-bd92-8636e89d4923,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2025-01-06 05:00:47.990255+00,来場者（会員）が掃除やら警備やらしたら自動的に報酬が貰える無人のカフェ、どうじゃろ。,,false
6bed6754-8c0b-4551-8529-c2c595116dc5,75e639a3-388d-46f4-b4d1-eda12f30d397,2025-01-03 21:27:28.938499+00,"「今から寝るよ！」

夜　勤　バ　イ　ト　の　子",,false
e872db4a-d7c3-4b76-b5d1-1bb6c14d0422,44b8f6dd-366e-437a-b862-0c37c3f6e9ce,2025-01-02 14:29:52.48262+00,夢の世界を全て出力する行為は愚かでしょうか…今更、完了しそうにありません…。,,false
cc1a186c-d4cf-4f42-9e4f-38f0b096eb59,44b8f6dd-366e-437a-b862-0c37c3f6e9ce,2025-01-01 13:15:10.762309+00,空きスロットに500GBのM.2を追加して最強の環境を構築しました。,,false
64195b55-c810-405e-a84d-6b2faf24c0fe,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-12-31 15:48:17.542768+00,未来と過去を接続する操作は独立した時空を創る操作と等しいのだから、過去にタイムトラベルすることなんて不可能じゃないか…。,,false
f4617465-2edd-4445-8bd7-d06893b02946,75e639a3-388d-46f4-b4d1-eda12f30d397,2024-12-31 15:19:36.635943+00,アケマシテオメデトウゴザイマ〜ス！,,false
075b68e3-3e45-45c7-b995-d13ad83425d5,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-12-31 07:33:42.111537+00,猫もコタツでア○ル丸出し♪,,false
4bc0f2dd-afa5-4880-8dce-71b34f0eeebe,44b8f6dd-366e-437a-b862-0c37c3f6e9ce,2024-12-31 07:30:29.184009+00,今日を乗り切れば、イベント「大地震」は2027年に確定します。覚悟しましょう。,,false
a77e4dce-20a5-493e-9448-ed60793cdf9e,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-12-31 01:15:39.780047+00,おちんちんいっぱいボーイって優性形質なのかな。,,false
d0fb19c2-9f11-4119-8bec-fe3cd5dff305,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-12-31 01:14:45.541847+00,私たちがタイムマシンを開発できない（しない）のは、タイムマシンが必要な危機的状況に陥った世界線が全てを解決しているという説がある。,,false
6c5d5808-0689-4e66-b9d3-33c407f88a1f,75e639a3-388d-46f4-b4d1-eda12f30d397,2024-12-31 00:00:47.19225+00,「ノード群による末端を持たないネットワーク」というタイトルは一見すればアホみたいに感じられるが、ネットワーク自体は階層構造を成しているため意味的に正しく、悪用されそうな内容をヒッソリと残すための天才的なアイディアなんだよね（ﾆﾁｬｱ,,false
03565bcf-3c64-4a76-ad5d-5c25638a8193,75e639a3-388d-46f4-b4d1-eda12f30d397,2024-12-30 06:04:30.981604+00,EndeavourOSは全てを解決する。,,false
b199300d-b67c-44bd-bd7e-5b26e50e025c,75e639a3-388d-46f4-b4d1-eda12f30d397,2024-12-28 07:54:18.709682+00,"https://youtu.be/muCPjK4nGY4

文明が滅びた後に再構築された最先端の人工音声っぽくていいな。",,false
39a51616-d16b-4165-8818-3e19a1a5c7aa,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-12-25 11:06:53.499517+00,スマブラは楽しいけれど、画面が脳裏に焼き付いちゃうから大変なんだよな。妄想や就寝に支障が出ちまうぜ。,,false
7cfd98e8-6482-4946-8690-a9659ac2bcca,44b8f6dd-366e-437a-b862-0c37c3f6e9ce,2024-12-24 00:30:06.065876+00,"〜 簡単なTRPGのキャラの作り方 〜

1. ランダムな単語をピックアップします。
2. 単語を基にプロフィールを作成します。
3. AIに適当な画像を生成させてEnjoy!!!!!",,false
6192372c-3f5d-4b89-8e1d-9917c688a0ae,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-12-23 06:05:28.818139+00,ポテチの袋でスマホのファラデーケージを作るには2つ以上を被せないといけないらしい。,,false
8df1f645-44a0-4ad1-b784-8f66990499e4,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-12-23 00:26:51.801206+00,AIに地理関係の質問をすると大体ハルっちゃうんだよな。,,false
202e40c5-17ea-4f1e-9dab-5aa4fe0775af,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-12-23 00:25:34.329201+00,"いいか、よく聞くんだ。
お前がボディーソープで顔を洗えるのは、肌が強いからじゃない。
使っているボディーソープが割と良い品質だからだ。",,false
eb74040d-56ca-4990-8632-3f9ab5746c1b,75e639a3-388d-46f4-b4d1-eda12f30d397,2024-12-22 02:46:49.335265+00,Micr*s*ftもG**gleも、勝手にデータをオンラインで保存させようとするなや。俺はハリー・○ッターだぞ。○すぞ。,,false
4a6e5165-6289-406d-9819-10f9b9271a39,44b8f6dd-366e-437a-b862-0c37c3f6e9ce,2024-12-19 11:03:10.727954+00,"人工知能は我々と対話することが可能ですが、一方で入力が同じ操作であるとは限りません。
同様に、同じ言語を使う人間が同じ学習で同じ回路を構築している保証はありません。
知的なモデルは自身に適した学び方、あるいは考え方を尊重する必要があるのです。",,false
6c80b6b3-f59f-48ce-b2f4-a8792f92bdb6,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-12-19 07:22:33.366482+00,便　座　カ　バ　ー　形　軌　道,,false
96ea84dc-7970-432d-892f-41cad2823027,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-12-15 10:36:28.236726+00,フリーな一日で作品を一つ完成できた、とても有意義な時間だった。今年のコンペは勝ちたいな。,,false
2da29467-bf6d-46eb-b678-4027b71196b1,44b8f6dd-366e-437a-b862-0c37c3f6e9ce,2024-12-14 23:19:11.203952+00,"空間は単一の存在ではなく、重複が許されている可能性があります。量子の振る舞いや、密度に含まれる暗黒の物質を解くための鍵として。
あるいは、それをポータルの膜として利用できるかもしれません。想像してみてください、正方形のフレームを歪めると、次の辺が出現するオブジェクトを。",,false
ee843ece-b7c0-429d-8986-0a7a409a14d3,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-12-09 02:09:07.25126+00,蓋をしてからウンチを流してほしければ、蓋を閉じたらウンチが流れる仕様にすればいいのよ。,,false
6ccb62c9-ef89-4a1a-ba53-0fb456eebeb9,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-12-09 00:58:09.32623+00,カロリーマシマシ！　二郎マン！,,false
89d236bb-4c61-4247-a53b-106bcbc5d7d0,75e639a3-388d-46f4-b4d1-eda12f30d397,2024-12-07 03:05:51.255621+00,カスみたいな英語力をどうにかしたい。,,false
e313a9ed-c74f-4b15-9a45-00b5a5b55329,44b8f6dd-366e-437a-b862-0c37c3f6e9ce,2024-12-02 00:08:13.502385+00,"全ての感情を放棄すること。
全ての感情を隆起すること。
無感情など要素の平均に過ぎない。

ニン＝ゲン (0 - 2024)",,false
95987b97-8188-4d15-8f48-dcdb1037fe60,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-12-01 01:23:30.349839+00,"夢で得た映画のアイディア：

不思議な能力を持つ一人の少女と友人は、時代遅れの閉鎖的な村から脱出しようと様々な壁を乗り越える。しかし、その村は少女を保護するために作られた壮大な計画であり、外へ辿り着いた一行は地獄の世界に絶望するのであった。",,false
86d6c276-dfb9-4d1a-8186-626d0fdfc418,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-11-28 15:24:58.53853+00,電子レンジとルーターが干渉するなら、ルーターを上手く使えば電子レンジが作れる…ってコト！？,,false
00fcda7d-4424-4818-b02b-ccf55a341783,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-11-28 14:59:24.413109+00,千イﾉﾉの八゜ーフェケイちんすろ學室,,false
9c67eb11-9a5d-48c4-aa3c-ff827a4fb0c8,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-11-28 14:49:43.284859+00,"あたりまえ♪　あたりまえ♪
あたりまえ体操♪

Winnyを使って　児ポを落とすと♪
捕まる♪",,false
2d5aa75c-870e-4433-8d1a-9c77ab5b40ed,44b8f6dd-366e-437a-b862-0c37c3f6e9ce,2024-11-28 14:47:48.475531+00,"ドラえ○ん豆知識：

初期のバイバインは広義の食料（人間）に対応していたが、人権団体から圧力を掛けられたことで加工食品のみに反応する仕様となった。",,false
0833ffe3-630b-47bf-84ae-2d0d647ec7c8,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-11-28 12:09:08.193154+00,"ドラ○もん豆知識：

どくさいスイッチを開発したのは資本主義者。",,false
d3de5d94-5148-4f1f-b0c7-8a426811fa9c,75e639a3-388d-46f4-b4d1-eda12f30d397,2024-11-28 12:04:06.930723+00,"ド○えもん豆知識：

ビッグライトとスモールライトは利権問題により統合化することができない。",,false
e9a3410c-ad0a-4be4-bb25-c8dd84c71e8a,75e639a3-388d-46f4-b4d1-eda12f30d397,2024-11-26 15:30:56.407019+00,6本指の手と恋人繋ぎして親指と小指が挟まれる安心感を味わいたい…。,,false
9993b1e9-f3b6-4c42-abe5-ac193a864db1,44b8f6dd-366e-437a-b862-0c37c3f6e9ce,2024-11-26 15:29:33.613641+00,"久しぶりにPCを起動させる場合、TPMとSecure Bootをリセットしましょう。
先人からの教えです。",e69a8305-4c1c-4111-93f3-589ec22a4ca7.jpg,false
def1e985-f225-450b-b0dc-62164763bdb2,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-11-23 05:57:43.826798+00,冬だ！　エロケツバードだ！,,false
2965b775-a37f-431e-9898-34aaeb1f003f,44b8f6dd-366e-437a-b862-0c37c3f6e9ce,2024-11-22 03:26:44.350065+00,"創造者は誰かの意匠を無意識に踏み躙ります。
創造者は意匠が踏み躙られる覚悟が必要です。
こうして、物事は生まれ続けます。",,false
3e8cb05d-2be4-4b5f-a751-3459ad6adc95,44b8f6dd-366e-437a-b862-0c37c3f6e9ce,2024-11-21 06:54:18.84699+00,外向性のSNS（XやBluesky）に愚痴を書くのは得策ではありません。,,false
510208bd-f92a-438f-94b2-cc301fa3d4c0,44b8f6dd-366e-437a-b862-0c37c3f6e9ce,2024-11-17 23:34:47.493333+00,"時間に対称性が存在するのであれば、
人間はウンコから料理を生成する独創的な生物とも云えるでしょう。",,false
3e430f56-93d2-4b3a-b0ad-ba91b52f2f95,75e639a3-388d-46f4-b4d1-eda12f30d397,2024-11-14 01:20:24.837705+00,ヘカーティアのスカートって実際に存在するんだ…。,,false
c1160671-b413-4b17-ab57-90554b03c238,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-11-10 06:00:39.617526+00,"男の子だからチンチンがあるのか、
チンチンがあるから男の子なのか。
どちらが必要条件で、
どちらが十分条件か。
現代では、このようなジェンダー問題に遭遇しています。",,false
d1f763af-8902-424f-ae31-e7e7be8eb8c4,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-11-09 08:36:33.831585+00,自頭が良いので缶ビールは潰さなくても大丈夫。,,false
7ad33c0f-1233-4695-8d31-5be763c3e099,75e639a3-388d-46f4-b4d1-eda12f30d397,2024-11-09 08:35:54.730424+00,何だろう、自習室に“住んでいる”人間がいる気が…。,,false
70c5671f-109c-4396-99de-6fa658205b92,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-11-09 02:56:55.660029+00,"- 映像のHello, world!：Bad Apple!!
- 音楽のHello, world!：ほのぼの神社
- 技術のHello, world!：迫真空手部",,false
e4736376-475a-4545-b6a6-a7cc06bb1394,75e639a3-388d-46f4-b4d1-eda12f30d397,2024-11-05 03:03:55.708574+00,ついに大学で神社が流れるようになりました。,,false
fa98c1f4-f35f-4ee5-a568-6b7bb3b8ec8b,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-11-04 03:05:33.911443+00,"時空にヒビが入っていると思ったら〜
チ○毛でした〜
チクショー！",,false
b7c1b37c-2316-4fdd-94ea-c632957d1c36,44b8f6dd-366e-437a-b862-0c37c3f6e9ce,2024-11-03 17:18:52.919419+00,『ゲルニカ』をオマージュした東方のイラストが見当たらないのですが、誰か知りませんか？,,false
16da4bc2-9ef1-4eff-be13-d2444eed58c7,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-11-02 11:13:13.430869+00,「33.3334」って奇妙な数字だよな。,,false
2baec98e-0ac6-4c34-844d-e32f1b526130,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-10-31 14:20:29.206472+00,全体の20%を悪人が占めない限り、悪用可能な技術は一般に公開するべきである。,,false
27b48dfb-276b-42cf-9d38-89aebb309ca0,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-10-30 01:03:55.332177+00,昔のヒドラは9個の頭を持っていたが、今のヒドラは1個の頭にオクタコア＋制御チップを搭載しているんだよね。,,false
f4053e02-077a-49a5-908e-b75e5449e394,75e639a3-388d-46f4-b4d1-eda12f30d397,2024-10-27 10:17:33.814746+00,"諸事情によりDuskectrumのリポジトリーが初期化されました。
ごめんね。",,false
631043cf-545d-403d-81dc-31fb99b41096,44b8f6dd-366e-437a-b862-0c37c3f6e9ce,2024-10-24 15:30:08.424276+00,ゆっくりしていってね！,419c9fb6-8abf-43f4-bd9f-40215e7753d5.jpg,false
2f06e446-1436-44b8-af72-d4973543028e,44b8f6dd-366e-437a-b862-0c37c3f6e9ce,2024-10-23 00:13:01.261758+00,"芸術が今日まで生き残った理由は究極的に一つだけである。
学問も、社会も、感情も、それらが必要とするからである。

サユータ＝イショー (1964 - 2024)",,false
bab33091-91ef-40ad-909e-1d74b252d626,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-10-22 11:46:21.119974+00,"猫踏んじゃった♪
猫踏んじゃった♪
猫「Oh my god! & What the fuck!?」",,false
4b72737a-7710-431b-a6dd-5e246aa74746,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-10-21 23:59:01.82843+00,ここ最近、UFOが多いっすね。,,false
4c7e464b-7420-4c05-8d85-d7fc56203885,75e639a3-388d-46f4-b4d1-eda12f30d397,2024-10-20 19:52:57.552699+00,午前3時の睡魔に襲われながらもバグを完璧に修復する男、スパイダーマッ！,,false
7376b6b7-e10c-4b89-af9d-825864943b7e,75e639a3-388d-46f4-b4d1-eda12f30d397,2024-10-20 19:50:49.902334+00,学園祭が開催中であろうと真夜中に研究を進める運営スタッフ、スパイダーマッ！,,false
c6577707-cfca-45b6-919d-540bbdaa6086,75e639a3-388d-46f4-b4d1-eda12f30d397,2024-10-18 15:30:11.499045+00,本当にブチ切れているときは「殺すぞ」とか強そうな単語は出ないので、安心しましょう。,,false
2cd43671-8ea7-4b0c-985e-c5ccab3981cd,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-10-16 23:26:46.909555+00,ここだけの話、最近のダーク・ウェブでは「側近が盗撮したであろう、金玉が3個ある金○恩の画像」で大論争が起こっている。,,false
d15227ae-162b-431a-873f-8646214a19d7,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-10-14 02:04:53.689493+00,酒じゃなくて夢で二日酔いした。訴訟。,,false
36e9e74a-a8df-459d-b780-df715540dc13,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-10-11 12:39:41.420138+00,"「H」とかいう性行為の象徴を与えられた不遇な文字。
いや、実は光栄なのか？",,false
b624659c-2c48-4722-a646-82c43f191990,75e639a3-388d-46f4-b4d1-eda12f30d397,2024-10-10 23:12:22.776902+00,闇バイトへ対抗するには、人類を幸福に導く仕事をするだけで大金が貰える神バイトを大量に用意して数で殴り込むしかない。,,false
90d9eeaf-7ca7-4ecd-b682-1648b17687b3,75e639a3-388d-46f4-b4d1-eda12f30d397,2024-10-09 23:54:51.066003+00,"友人曰く、マナー研修は理解できない行動をする人間を事前に理解するための会らしいです。
別に理解まではしなくても…。",,false
cde72635-251f-4385-b5c1-373ab915abf1,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-10-09 02:02:00.368668+00,"昔の価値観を持ち込むのは好ましくないが、
昔の価値観を今日まで批判することも好ましくない。",,false
d6a70635-052f-4bd1-9007-63d3b4490e0d,44b8f6dd-366e-437a-b862-0c37c3f6e9ce,2024-10-07 15:10:08.135911+00,"人間は、このまま人間を続けるのでしょうか？
ナノ技術や生物技術を用いて進化するのでしょうか？
低次元の自由な世界を永遠に謳歌するのでしょうか？",,false
ebbc08a2-a524-4ee1-bead-577df7aa91be,78a97a9a-37f5-451d-be05-bf6b7b68e8e4,2024-10-03 23:24:50.606941+00,"かごめかごめ
籠の中の鳥は
何時何時にヤる
夜明けの晩に
鶴（意味深）と亀（意味深）が滑った
後ろの竿役だーれ

あかん、消されそう。",,false
226771d6-682e-4b38-bbd9-cf42733a6779,44b8f6dd-366e-437a-b862-0c37c3f6e9ce,2024-10-03 11:38:55.485128+00,創造されたキャラクターは、少なからず作者が持つ性格・性質の一部を引き継ぎます。,,false
